comparison,baseline_method,baseline,scale,metric,expected_pairs,n_valid_pairs,missing_full_rows,missing_baseline_rows,missing_pair_count,mean_difference,median_difference,min_difference,max_difference,full_better_share
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,avg_walk,20,20,0,0,0,-825.602849719003,-858.1761446345622,-926.2596868991698,-695.2510052698481,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,300,avg_ivt,20,20,0,0,0,-5312.577618601432,-5313.626706036007,-8465.67706927133,-3802.8883370520266,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,300,avg_ivt,20,20,0,0,0,-5768.910330749773,-5592.0395916907455,-7954.715246473213,-3894.34521745785,1.0
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,300,avg_ivt,20,20,0,0,0,-5267.382802612308,-5235.413546624993,-6754.223298829033,-3965.698453966342,1.0
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,500,served_share,20,20,0,0,0,-0.0374,-0.03399999999999999,-0.12399999999999999,0.008000000000000007,0.05
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,500,served_share,20,20,0,0,0,-0.029500000000000005,-0.03399999999999999,-0.05600000000000002,0.01200000000000001,0.05
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,500,served_share,20,20,0,0,0,-0.03540000000000001,-0.040999999999999995,-0.068,0.027999999999999997,0.15
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,500,behavioral_acceptance_rate,20,20,0,0,0,-0.0037000000000000227,0.01999999999999999,-0.19000000000000006,0.19600000000000006,0.5
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,500,behavioral_acceptance_rate,20,20,0,0,0,-0.020300000000000002,-0.023000000000000048,-0.15000000000000008,0.07000000000000012,0.4
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,500,behavioral_acceptance_rate,20,20,0,0,0,0.0072000000000000145,0.01200000000000001,-0.14800000000000002,0.14800000000000002,0.6
BidirectionalMP_Choice_RH_ALNS_minus_DoorToDoor_Choice_CommonRouting,DoorToDoor_Choice_CommonRouting,DoorToDoor,500,choice_rejection_rate,20,20,0,0,0,0.0037000000000000145,-0.019999999999999962,-0.196,0.19,0.5
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup_Choice_CommonRouting,SingleSidedPickup,500,choice_rejection_rate,20,20,0,0,0,0.0203,0.02300000000000002,-0.07000000000000006,0.14999999999999997,0.4
BidirectionalMP_Choice_RH_ALNS_minus_SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff_Choice_CommonRouting,SingleSidedDropoff,500,choice_rejection_rate,20,20,0,0,0,-0.007200000000000003,-0.01200000000000001,-0.14800000000000002,0.14800000000000002,0.6
